rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,price_sqrm,room_price,avg_room_size,quiet_neighboorhood,parcet,family_child_friendly,apt_id,url_immoscout,url_homegate,url_flatfox
2.0,45.0,1710,1550,3011,Postgasse 44,Bern,2020,False,True,False,False,False,False,False,True,True,38.0,855.0,22.5,True,True,False,1710_45.0_2.0_3011_Postgasse44_Bern,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7018113,,
2.5,62.5,1120,930,4704,Sagimattweg 5,Niederbipp,0,True,True,False,False,False,False,False,False,False,17.92,448.0,25.0,False,True,False,1120_62.5_2.5_4704_Sagimattweg5_Niederbipp,https://www.immoscout24.ch/de/d/wohnung-mieten-niederbipp/6927624,,https://flatfox.ch/de/wohnung/sagimattweg-5-4704-niederbipp/546597/
2.5,62.5,1140,950,4704,Sagimattweg 5,Niederbipp,0,True,True,False,False,False,False,False,False,False,18.24,456.0,25.0,False,True,False,1140_62.5_2.5_4704_Sagimattweg5_Niederbipp,https://www.immoscout24.ch/de/d/dachwohnung-mieten-niederbipp/7024065,,https://flatfox.ch/de/wohnung/sagimattweg-5-4704-niederbipp/582148/
4.5,140.0,3400,2995,3005,Kirchenfeldstrasse 52A,Bern,2019,True,False,False,False,False,False,False,True,True,24.29,755.56,31.11,False,False,False,3400_140.0_4.5_3005_Kirchenfeldstrasse52A_Bern,https://www.immoscout24.ch/de/d/moebliertes-wohnobjekt-mieten-bern/7093905,,
3.5,90.0,1850,1600,2504,Mettlenweg 25,Biel/Bienne,2021,True,True,False,True,False,False,True,True,True,20.56,528.57,25.71,False,True,False,1850_90.0_3.5_2504_Mettlenweg25_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7108362,,
3.5,91.0,1670,1470,3270,Bahnhofstrasse 11 / W4,Aarberg,2015,False,False,True,False,True,False,True,False,False,18.35,477.14,26.0,False,True,False,1670_91.0_3.5_3270_Bahnhofstrasse11/W4_Aarberg,https://www.immoscout24.ch/de/d/wohnung-mieten-aarberg/7080201,,https://flatfox.ch/de/wohnung/bahnhofstrasse-11-w4-3270-aarberg/598188/
3.5,87.5,2715,2375,3007,Zieglerstrasse 30,Bern,0,False,False,False,False,False,False,False,False,False,31.03,775.71,25.0,False,False,False,2715_87.5_3.5_3007_Zieglerstrasse30_Bern,https://www.immoscout24.ch/de/d/loft-mieten-bern/1572961,,
4.5,110.0,2050,1800,2504,Mettlenweg 25,Biel/Bienne,2021,True,True,False,True,False,False,True,True,True,18.64,455.56,24.44,False,True,False,2050_110.0_4.5_2504_Mettlenweg25_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7108357,,
4.0,100.0,1365,1195,2504,Mühlestrasse 61,Biel/Bienne,0,True,False,True,True,False,False,False,True,True,13.65,341.25,25.0,False,False,False,1365_100.0_4.0_2504_Mühlestrasse61_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7108289,,
4.5,177.0,2350,2100,4704,No information,Niederbipp,2022,True,True,False,True,False,False,False,True,True,13.28,522.22,39.33,False,False,False,2350_177.0_4.5_4704_Noinformation_Niederbipp,https://www.immoscout24.ch/de/d/wohnung-mieten-niederbipp/6915727,,
