rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,price_sqrm,room_price,avg_room_size,quiet_neighboorhood,parcet,family_child_friendly,apt_id,url_flatfox
1.5,37.5,770,645,3006,Pulverweg 40,Bern,0,False,False,False,False,False,False,False,False,False,20.53,513.33,25.0,False,True,False,770_37.5_1.5_3006_Pulverweg40_Bern,https://flatfox.ch/de/wohnung/pulverweg-40-3006-bern/595316/
2.5,54.0,1480,1290,3027,Riedbachstrasse 77,Bern,0,True,True,True,False,False,False,False,True,False,27.41,592.0,21.6,False,False,False,1480_54.0_2.5_3027_Riedbachstrasse77_Bern,https://flatfox.ch/de/wohnung/riedbachstrasse-77-3027-bern/599945/
1.0,25.0,660,600,4950,Hubweg 10A,Huttwil,0,False,True,False,False,False,False,False,False,False,26.4,660.0,25.0,False,False,False,660_25.0_1.0_4950_Hubweg10A_Huttwil,https://flatfox.ch/de/wohnung/hubweg-10a-4950-huttwil/579991/
3.0,54.0,1275,1100,3073,Brüggliweg 9,Gümligen,0,True,True,False,False,False,False,False,False,False,23.61,425.0,18.0,False,True,False,1275_54.0_3.0_3073_Brüggliweg9_Gümligen,https://flatfox.ch/de/wohnung/bruggliweg-9-3073-gumligen/515969/
3.5,75.0,1720,1460,3013,Papiermühlestr. 2 B,Bern,1948,True,True,False,False,False,False,False,False,False,22.93,491.43,21.43,False,True,False,1720_75.0_3.5_3013_Papiermühlestr2B_Bern,https://flatfox.ch/de/wohnung/papiermuhlestr-2-b-3013-bern/592074/
2.5,84.0,1082,832,3027,No information,Bern,0,True,False,False,False,False,False,False,False,False,12.88,432.8,33.6,False,False,False,1082_84.0_2.5_3027_Noinformation_Bern,https://flatfox.ch/de/wohnung/3027-bern/590648/
4.0,84.0,1680,1390,2503,Badhausstrasse 19,Biel/Bienne,1960,True,True,True,False,False,False,False,False,False,20.0,420.0,21.0,False,True,False,1680_84.0_4.0_2503_Badhausstrasse19_Biel/Bienne,https://flatfox.ch/de/wohnung/badhausstrasse-19-2503-bielbienne/544490/
4.0,94.0,1650,1440,2560,Hauptstrasse 54,Nidau,0,False,True,True,False,False,False,False,False,False,17.55,412.5,23.5,False,False,False,1650_94.0_4.0_2560_Hauptstrasse54_Nidau,https://flatfox.ch/de/wohnung/hauptstrasse-54-2560-nidau/575658/
5.0,90.0,1650,1453,4914,Lindenrain 1,Roggwil,2021,True,False,False,True,False,False,False,True,False,18.33,330.0,18.0,False,True,False,1650_90.0_5.0_4914_Lindenrain1_Roggwil,https://flatfox.ch/de/wohnung/lindenrain-1-4914-roggwil/580595/
3.5,92.0,2080,1800,3074,Kräyigenweg 93,Muri bei Bern,20072022,True,False,True,True,False,False,False,False,True,22.61,594.29,26.29,False,False,False,2080_92.0_3.5_3074_Kräyigenweg93_Muri bei Bern,https://flatfox.ch/de/wohnung/krayigenweg-93-3074-muri-bei-bern/557736/
3.0,84.0,1690,1490,3065,Lutertalstrasse 39,Bolligen,1986,True,False,False,False,False,False,False,False,True,20.12,563.33,28.0,False,True,False,1690_84.0_3.0_3065_Lutertalstrasse39_Bolligen,https://flatfox.ch/de/wohnung/lutertalstrasse-39-3065-bolligen/555462/
2.0,50.0,1230,1080,3013,Pappelweg 44,Bern,0,True,False,False,False,False,False,False,False,True,24.6,615.0,25.0,False,False,False,1230_50.0_2.0_3013_Pappelweg44_Bern,https://flatfox.ch/de/wohnung/pappelweg-44-3013-bern/601791/
2.5,78.0,1990,1800,3012,Zähringerstr. 25,Bern,2012,False,False,True,True,False,False,False,False,True,25.51,796.0,31.2,False,True,False,1990_78.0_2.5_3012_Zähringerstr25_Bern,https://flatfox.ch/de/wohnung/zahringerstr-25-3012-bern/585725/
1.0,12.0,250,195,3006,Giacomettistrasse 24,Bern,1962,False,False,False,False,False,False,False,False,False,20.83,250.0,12.0,False,False,False,250_12.0_1.0_3006_Giacomettistrasse24_Bern,https://flatfox.ch/de/wohnung/giacomettistrasse-24-3006-bern/589724/
4.5,98.0,2040,1740,3110,Bernstrasse 30a,Münsingen,0,True,False,True,False,False,False,False,False,True,20.82,453.33,21.78,False,True,False,2040_98.0_4.5_3110_Bernstrasse30a_Münsingen,https://flatfox.ch/de/wohnung/bernstrasse-30a-3110-munsingen/577363/
2.5,74.0,1520,1300,2542,Bahnhofstr. 24,Pieterlen,2015,True,True,True,False,False,False,False,True,False,20.54,608.0,29.6,False,True,False,1520_74.0_2.5_2542_Bahnhofstr24_Pieterlen,https://flatfox.ch/de/wohnung/bahnhofstr-24-2542-pieterlen/571840/
