rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,price_sqrm,room_price,avg_room_size,quiet_neighboorhood,parcet,family_child_friendly,apt_id,url_homegate
2.0,64.0,1160,1000,0,Jurastrasse 11,Alchenflüh,2013,False,True,False,True,False,False,False,False,False,18.12,580.0,32.0,False,False,False,1160_64.0_2.0_0_Jurastrasse11_Alchenflüh,https://www.homegate.ch/mieten/3001868197
4.5,80.0,1310,1140,0,Hauptstrasse 2a,Alchenflüh,2017,False,True,False,False,False,False,False,False,False,16.38,291.11,17.78,False,False,False,1310_80.0_4.5_0_Hauptstrasse2a_Alchenflüh,https://www.homegate.ch/mieten/3001432015
4.5,80.0,1320,1130,0,Hauptstrasse 2a,Alchenflüh,2017,False,True,False,False,False,False,False,False,False,16.5,293.33,17.78,False,False,False,1320_80.0_4.5_0_Hauptstrasse2a_Alchenflüh,https://www.homegate.ch/mieten/3001621868
2.5,58.0,1320,1160,0,Burgdorfstrasse 1,Alchenflüh,2019,True,True,True,True,False,False,False,False,False,22.76,528.0,23.2,False,False,False,1320_58.0_2.5_0_Burgdorfstrasse1_Alchenflüh,https://www.homegate.ch/mieten/3001843494
4.5,86.0,1500,1290,0,Jurastrasse 11,Alchenflüh,2013,False,True,False,True,False,False,False,False,False,17.44,333.33,19.11,False,False,False,1500_86.0_4.5_0_Jurastrasse11_Alchenflüh,https://www.homegate.ch/mieten/3001871419
2.5,49.0,1030,850,0,Grenchenstrasse 13,Arch,0,True,False,False,True,False,False,False,True,False,21.02,412.0,19.6,False,False,False,1030_49.0_2.5_0_Grenchenstrasse13_Arch,https://www.homegate.ch/mieten/3001603975
4.5,106.0,1970,1730,0,Spismattweg 13,Arch,0,True,False,True,False,False,False,False,False,False,18.58,437.78,23.56,False,False,False,1970_106.0_4.5_0_Spismattweg13_Arch,https://www.homegate.ch/mieten/3001795547
4.5,120.0,2200,1900,0,Römerstr. West 47,Arch,2015,True,True,True,False,False,False,False,True,False,18.33,488.89,26.67,False,False,False,2200_120.0_4.5_0_Römerstr.West47_Arch,https://www.homegate.ch/mieten/3001452628
3.5,98.0,1160,900,0,Oltenstrasse 5,Attiswil,0,False,False,False,True,False,False,False,False,False,11.84,331.43,28.0,False,False,False,1160_98.0_3.5_0_Oltenstrasse5_Attiswil,https://www.homegate.ch/mieten/3001704181
4.5,110.0,1280,1100,0,Solothurnstrasse 12,Attiswil,0,True,True,True,True,False,False,False,False,False,11.64,284.44,24.44,False,False,False,1280_110.0_4.5_0_Solothurnstrasse12_Attiswil,https://www.homegate.ch/mieten/3001821742
3.5,85.0,1340,1060,0,Oltenstrasse 5,Attiswil,0,False,False,False,True,False,False,False,False,False,15.76,382.86,24.29,False,False,False,1340_85.0_3.5_0_Oltenstrasse5_Attiswil,https://www.homegate.ch/mieten/3001734391
2.5,0.0,1420,1220,0,Wiesenweg 15,Attiswil,0,False,False,True,False,False,False,False,False,False,0.0,568.0,0.0,False,False,False,1420_0.0_2.5_0_Wiesenweg15_Attiswil,https://www.homegate.ch/mieten/3001554737
5.0,0.0,-17836,0,0,Oltenstrasse,Attiswil,0,False,True,False,False,False,False,False,True,False,-inf,-3567.2,0.0,False,False,False,-17836_0.0_5.0_0_Oltenstrasse_Attiswil,https://www.homegate.ch/mieten/3001699998
5.5,180.0,2500,2250,0,Hohlenweg 7,Bellmund,0,False,False,False,True,False,False,False,True,False,13.89,454.55,32.73,False,False,False,2500_180.0_5.5_0_Hohlenweg7_Bellmund,https://www.homegate.ch/mieten/3001603972
2.5,56.0,1340,1180,0,Kastanienweg 42,Belp,2010,False,False,False,False,False,False,False,False,False,23.93,536.0,22.4,False,False,False,1340_56.0_2.5_0_Kastanienweg42_Belp,https://www.homegate.ch/mieten/3001871597
4.0,82.0,1370,1140,0,Schönmattweg 8,Belp,1964,True,False,False,False,False,False,False,False,False,16.71,342.5,20.5,False,False,False,1370_82.0_4.0_0_Schönmattweg8_Belp,https://www.homegate.ch/mieten/3001691367
4.0,78.0,1430,1150,0,Muristrasse 46 A,Belp,1965,True,False,False,True,False,False,False,False,False,18.33,357.5,19.5,False,False,False,1430_78.0_4.0_0_Muristrasse46A_Belp,https://www.homegate.ch/mieten/3001852366
4.5,0.0,1510,1250,0,Muristrasse 66,Belp,1966,True,False,False,False,False,False,False,False,False,0.0,335.56,0.0,False,False,False,1510_0.0_4.5_0_Muristrasse66_Belp,https://www.homegate.ch/mieten/3001703052
3.5,0.0,1550,1350,0,Schönmattweg 24,Belp,1964,False,False,False,False,False,False,False,False,False,0.0,442.86,0.0,False,False,False,1550_0.0_3.5_0_Schönmattweg24_Belp,https://www.homegate.ch/mieten/3001755757
4.5,84.0,1775,1575,0,Schafmattstrasse 17,Belp,1983,False,False,True,False,False,False,False,False,False,21.13,394.44,18.67,False,False,False,1775_84.0_4.5_0_Schafmattstrasse17_Belp,https://www.homegate.ch/mieten/3001785367
