rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,price_sqrm,room_price,avg_room_size,quiet_neighboorhood,parcet,family_child_friendly,apt_id,url_immoscout
4.5,110.0,3180,2980,3013,Viktoriastrasse 86,Bern,2022,True,True,False,True,False,False,False,True,True,28.91,706.67,24.44,False,True,False,3180_110.0_4.5_3013_Viktoriastrasse86_Bern,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/2035812
4.5,76.0,1350,1080,4900,Thunstettenstrasse 44,Langenthal,0,True,False,False,False,False,False,False,False,False,17.76,300.0,16.89,False,True,False,1350_76.0_4.5_4900_Thunstettenstrasse44_Langenthal,https://www.immoscout24.ch/de/d/wohnung-mieten-langenthal/7099613
3.5,77.0,1680,1450,2502,Florastrasse 5,Biel/Bienne,0,True,False,True,False,False,False,False,True,False,21.82,480.0,22.0,False,True,False,1680_77.0_3.5_2502_Florastrasse5_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7099612
4.0,90.0,1525,1285,4900,Waldhofstrasse 24,Langenthal,0,True,False,False,False,False,False,False,False,False,16.94,381.25,22.5,False,True,False,1525_90.0_4.0_4900_Waldhofstrasse24_Langenthal,https://www.immoscout24.ch/de/d/wohnung-mieten-langenthal/7099611
3.5,76.0,1390,1180,4900,Waldhofstrasse 24,Langenthal,0,True,False,False,False,False,False,False,False,False,18.29,397.14,21.71,False,True,False,1390_76.0_3.5_4900_Waldhofstrasse24_Langenthal,https://www.immoscout24.ch/de/d/wohnung-mieten-langenthal/6582392
2.5,80.0,1350,1189,3552,Bäraustrasse 74,Bärau,2016,True,False,False,False,True,False,False,True,True,16.88,540.0,32.0,False,False,False,1350_80.0_2.5_3552_Bäraustrasse74_Bärau,https://www.immoscout24.ch/de/d/duplex--maisonette-wohnung-mieten-baerau/7087769
4.5,100.0,1980,1750,3700,Eigerweg 13,Spiez,2020,True,False,False,True,False,False,False,False,True,19.8,440.0,22.22,True,False,False,1980_100.0_4.5_3700_Eigerweg13_Spiez,https://www.immoscout24.ch/de/d/reihen-einfamilienhaus-mieten-spiez/7099452
3.5,100.0,1850,1615,3626,Stationsstrasse 3,Hünibach,1996,True,True,False,False,False,False,False,True,True,18.5,528.57,28.57,False,True,False,1850_100.0_3.5_3626_Stationsstrasse3_Hünibach,https://www.immoscout24.ch/de/d/wohnung-mieten-huenibach/6220523
1.0,48.0,1100,900,3250,Grünweg 3,Lyss,0,False,False,False,False,False,False,True,False,True,22.92,1100.0,48.0,True,False,False,1100_48.0_1.0_3250_Grünweg3_Lyss,https://www.immoscout24.ch/de/d/studio-mieten-lyss/7099343
3.5,80.0,950,800,3752,Hofitgasse 10,Wimmis,0,True,True,False,True,False,False,False,False,False,11.88,271.43,22.86,False,False,False,950_80.0_3.5_3752_Hofitgasse10_Wimmis,https://www.immoscout24.ch/de/d/wohnung-mieten-wimmis/7099366
